# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
5.028517328402768438e-01,2.134737468341556450e+03,1.193615438077752109e-03,1.074395234117390574e+00,2.100000000000000000e+02,3.230195047138596465e+01,1.907895490237171714e+02,9.305316739728591857e-02
5.031819896748571663e-01,2.108705191867264148e+03,1.276863371078543587e-03,1.083531605677683141e+00,2.200000000000000000e+02,3.392008990025136939e+01,1.833630170649354341e+02,9.495211067981496056e-02
5.035329474947985995e-01,2.080933727141792133e+03,1.362708851685766418e-03,1.093655525475200285e+00,2.300000000000000000e+02,3.565649684424419519e+01,1.767282516622987885e+02,9.725495208830735316e-02
5.039047959033050583e-01,2.050946006599109296e+03,1.451103681603706230e-03,1.104894058248685029e+00,2.400000000000000000e+02,3.754260116646478451e+01,1.708828861703167661e+02,9.952991607773029048e-02
5.042972314233094000e-01,2.016328452692346673e+03,1.541900260784120121e-03,1.117389704469962552e+00,2.500000000000000000e+02,3.960466432588391683e+01,1.658305344749420271e+02,1.020573206718544818e-01
5.047095794292829618e-01,1.981172875202317982e+03,1.634866893669584308e-03,1.131300711638706602e+00,2.600000000000000000e+02,4.187268358560161374e+01,1.615553757354983020e+02,1.046186315020826152e-01
5.051408946737503403e-01,1.943307263205418849e+03,1.729727659861090162e-03,1.146814145849123223e+00,2.700000000000000000e+02,4.439604276254980419e+01,1.580349988489940927e+02,1.072228913822780849e-01
5.055900901450262053e-01,1.903479372804124523e+03,1.826204834194261519e-03,1.164162179141376319e+00,2.800000000000000000e+02,4.723225118013578339e+01,1.552303164807429425e+02,1.094895621086211107e-01
5.060564775319651432e-01,1.861808630422901615e+03,1.924066268358843495e-03,1.183642917056379806e+00,2.900000000000000000e+02,5.044553312848766780e+01,1.530655431345683155e+02,1.119611946675452135e-01
5.065395371139069791e-01,1.820413934598372180e+03,2.023129237631795998e-03,1.205645333543846842e+00,3.000000000000000000e+02,5.412440931915396192e+01,1.515684491950959796e+02,1.146377876234687676e-01
5.070385813192634927e-01,1.777566295042277943e+03,2.123248708770559059e-03,1.230688791160673645e+00,3.100000000000000000e+02,5.840593464770927312e+01,1.507273433698464089e+02,1.175080430706144236e-01
5.075534443104753324e-01,1.733436216177269216e+03,2.224345856435906970e-03,1.259492495972662107e+00,3.200000000000000000e+02,6.345122945551996452e+01,1.505364607638841221e+02,1.201778529450589772e-01
5.080862016549320126e-01,1.687852284220836054e+03,2.326433338355281006e-03,1.293076170194435326e+00,3.300000000000000000e+02,6.951501114392917202e+01,1.510537962767374438e+02,1.233517762102569332e-01
5.086334248196449082e-01,1.640435572042298645e+03,2.429325518559015580e-03,1.332832385960473154e+00,3.400000000000000000e+02,7.692370088598916311e+01,1.528658993792782610e+02,1.264578821786951912e-01
5.091947639223087796e-01,1.590756849710076494e+03,2.532938349360034595e-03,1.380853747652560637e+00,3.500000000000000000e+02,8.619491679161858144e+01,1.559992452549955146e+02,1.301170872592964101e-01
5.097685036447376916e-01,1.535218348837787516e+03,2.637047816682494637e-03,1.440353379469945905e+00,3.600000000000000000e+02,9.811668731423672796e+01,1.609869139140816969e+02,1.337438819993094219e-01
5.103540854400959725e-01,1.476238488800882351e+03,2.741375789588739332e-03,1.516594629371160519e+00,3.700000000000000000e+02,1.138544711457448244e+02,1.686354189912831600e+02,1.380315291621176665e-01
5.109493315036184313e-01,1.411672653043214041e+03,2.845400473252166721e-03,1.618694963222562233e+00,3.800000000000000000e+02,1.353513363544913943e+02,1.803963425616466907e+02,1.425490012791791328e-01
5.115447538442505770e-01,1.345081571128514497e+03,2.948263916746765318e-03,1.763950350687131019e+00,3.900000000000000000e+02,1.647762918850443157e+02,1.979257014514798243e+02,1.473852040065668223e-01
5.121334195659755784e-01,1.286183046074148706e+03,3.049193461615361343e-03,1.990220256005452937e+00,4.000000000000000000e+02,2.050055630051413118e+02,2.222903664362102916e+02,1.517346027990152946e-01
5.127033611542753944e-01,1.247147609801585077e+03,3.147491944689889774e-03,2.394293071021838859e+00,4.100000000000000000e+02,2.549861233995748933e+02,2.519020295811776862e+02,1.551119204762476389e-01
5.132217368538926072e-01,1.237727907790783775e+03,3.242816103808066237e-03,3.222026087654339399e+00,4.200000000000000000e+02,3.042184095905730032e+02,2.782233615286245936e+02,1.573024282560156473e-01
5.136211891882090930e-01,1.253207089724945490e+03,3.335351807170779288e-03,4.642552291979969326e+00,4.300000000000000000e+02,3.369815347687738267e+02,2.908843585150837043e+02,1.569663262659501402e-01
5.138693560520909420e-01,1.296268024816424941e+03,3.425809123862321153e-03,6.116703707955490010e+00,4.400000000000000000e+02,3.513114387351574806e+02,2.915015731802737946e+02,1.538376183334638214e-01
5.140125302060625234e-01,1.358750135938441645e+03,3.514349630052081199e-03,7.291991190640987774e+00,4.500000000000000000e+02,3.554179716576218198e+02,2.867293402120205315e+02,1.491746964035324807e-01
5.140983441632773765e-01,1.430371102815069662e+03,3.600966165237016927e-03,8.223762222771179964e+00,4.600000000000000000e+02,3.554250443631120788e+02,2.805799970744998291e+02,1.439262637438850911e-01
5.141490083255709775e-01,1.504939517262863546e+03,3.685813779456707535e-03,8.998106771044474428e+00,4.700000000000000000e+02,3.541193706021186927e+02,2.742325185782609083e+02,1.381646756569951950e-01
5.141745151262601121e-01,1.581366973108834600e+03,3.769370193599038028e-03,9.667355738738807602e+00,4.800000000000000000e+02,3.522194444347521198e+02,2.678401765100791749e+02,1.329207640152948733e-01
5.141810249172381608e-01,1.659293877111216261e+03,3.852351827541206520e-03,1.026423355275283456e+01,4.900000000000000000e+02,3.501825283914715214e+02,2.614003788040863583e+02,1.268479610286583903e-01
5.141686892824985922e-01,1.738370848616267949e+03,3.935541422306615758e-03,1.081084634335024575e+01,5.000000000000000000e+02,3.480957697997106379e+02,2.548158735424831036e+02,1.216221309565126280e-01
5.141374108588510072e-01,1.818671261858181197e+03,4.019878322777181018e-03,1.132342226376537120e+01,5.100000000000000000e+02,3.460232663192524001e+02,2.481084925662115950e+02,1.158944516093114718e-01
5.140851463458820936e-01,1.898251765604185266e+03,4.106313766347765952e-03,1.181505609635743248e+01,5.200000000000000000e+02,3.442190476830657531e+02,2.413641835354598868e+02,1.103513793372072060e-01
5.140079645731097102e-01,1.978453194583124741e+03,4.195717185057360778e-03,1.230014594628468316e+01,5.300000000000000000e+02,3.432707613678811072e+02,2.346788927347894571e+02,1.040411981183086559e-01
5.139006999220236960e-01,2.060659642776147393e+03,4.288805420706386096e-03,1.278862729859440073e+01,5.400000000000000000e+02,3.427793125558879979e+02,2.280449733990476773e+02,9.847325741683406186e-02
5.137568177729733288e-01,2.143812867981045656e+03,4.386070809159896798e-03,1.328369260076569347e+01,5.500000000000000000e+02,3.424439661848908827e+02,2.215206323975664588e+02,9.224671109191530383e-02
5.135707817370854800e-01,2.228042472311963138e+03,4.487722533476026787e-03,1.378344660446015091e+01,5.600000000000000000e+02,3.418257612241266088e+02,2.151537725453107441e+02,8.534724579749618234e-02
