# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
5.072000524815774014e-01,2.467372455435160191e+03,2.166846071501807129e-03,1.106074733766306606e+00,3.100000000000000000e+02,2.328436478241269469e+01,1.338258058585481365e+02,6.798633165076746476e-02
5.077348053362490399e-01,2.452599715348989776e+03,2.272974133139340786e-03,1.114848836494413797e+00,3.200000000000000000e+02,2.397507218120495409e+01,1.312716465672034474e+02,6.895916022958412106e-02
5.082874522766649417e-01,2.437564106438388080e+03,2.380584351888312584e-03,1.124186417623452172e+00,3.300000000000000000e+02,2.469643909937883208e+01,1.289230482412734489e+02,6.966372520693783765e-02
5.088581826648888029e-01,2.422257619865376910e+03,2.489705464216507725e-03,1.134139906927743802e+00,3.400000000000000000e+02,2.545492467510536727e+01,1.267604859746030144e+02,7.042330055333444194e-02
5.094471174431792759e-01,2.406809475406428646e+03,2.600353003235571659e-03,1.144767871352444955e+00,3.500000000000000000e+02,2.625241932691803015e+01,1.247752575974959797e+02,7.116026992413342078e-02
5.100540468719944043e-01,2.391106610890657976e+03,2.712504493135345623e-03,1.156133241026066516e+00,3.600000000000000000e+02,2.709491796358758720e+01,1.229710209693157026e+02,7.193868241358426785e-02
5.106790125105038491e-01,2.375098227701136693e+03,2.826113798228730399e-03,1.168307025247375952e+00,3.700000000000000000e+02,2.798957868129296855e+01,1.213553113385724913e+02,7.291452486117792897e-02
5.113212404902891528e-01,2.358577404135560300e+03,2.941073362903139608e-03,1.181365239431012792e+00,3.800000000000000000e+02,2.894957166780489644e+01,1.199471992430901253e+02,7.373588978577425013e-02
5.119800328937160749e-01,2.341557730677914606e+03,3.057253793257028000e-03,1.195395689818711693e+00,3.900000000000000000e+02,2.997974960434046920e+01,1.187251160902446401e+02,7.469741309781424698e-02
5.126546621891964195e-01,2.324021537583234931e+03,3.174502477622493258e-03,1.210498896809201197e+00,4.000000000000000000e+02,3.109306420002064897e+01,1.177123814253939145e+02,7.534696743965789423e-02
5.133439902134399047e-01,2.306049917391606414e+03,3.292655683502702588e-03,1.226791509308788219e+00,4.100000000000000000e+02,3.229825907801900087e+01,1.169019581034524151e+02,7.613668164368651847e-02
5.140472015257846472e-01,2.287516248127780273e+03,3.411575832202477093e-03,1.244416974269621834e+00,4.200000000000000000e+02,3.361186157072757652e+01,1.162686872192789593e+02,7.697989706306170021e-02
5.147635285821412499e-01,2.268368024042778416e+03,3.531145387168566595e-03,1.263551266367449077e+00,4.300000000000000000e+02,3.504588031397220504e+01,1.158061325972368394e+02,7.814110934725011781e-02
5.154924982123767485e-01,2.248520538338086226e+03,3.651284755618903251e-03,1.284418075222163003e+00,4.400000000000000000e+02,3.663184746570023265e+01,1.155084958213435158e+02,7.924504994800497804e-02
5.162331571150190479e-01,2.227883734679448025e+03,3.771915733267546759e-03,1.307293758572663167e+00,4.500000000000000000e+02,3.838968617078759138e+01,1.153842101045987789e+02,7.990891872733039969e-02
5.169851404610245060e-01,2.206583205559264115e+03,3.893008579269178083e-03,1.332530307404422354e+00,4.600000000000000000e+02,4.034146069807698609e+01,1.154090771652591201e+02,8.099175981831246984e-02
5.177480406066335972e-01,2.184560837331603125e+03,4.014541445314484883e-03,1.360571379505048917e+00,4.700000000000000000e+02,4.252597897908191271e+01,1.155957531621967433e+02,8.201280714370942637e-02
5.185214641222734011e-01,2.161446654208341897e+03,4.136492779137800578e-03,1.391996536657947203e+00,4.800000000000000000e+02,4.502481316478427686e+01,1.159936006037127783e+02,8.290348906429753639e-02
5.193045656183651326e-01,2.137137256721870017e+03,4.258814232616126537e-03,1.427586453005781575e+00,4.900000000000000000e+02,4.790040890403270879e+01,1.166401553780880391e+02,8.420033344655963869e-02
5.200962041628047761e-01,2.111698614122425170e+03,4.381443854562702342e-03,1.468331402908721994e+00,5.000000000000000000e+02,5.117577633586083152e+01,1.175382795269066492e+02,8.573379527048612114e-02
5.208957948237125102e-01,2.084323703497435417e+03,4.504316910999946882e-03,1.515530936774234450e+00,5.100000000000000000e+02,5.493856334761300531e+01,1.187483883324317020e+02,8.693192005516031662e-02
5.217018637921274626e-01,2.054739029929564367e+03,4.627315910774698615e-03,1.570997868423484434e+00,5.200000000000000000e+02,5.935520995809034872e+01,1.203708161772444356e+02,8.896271906128773443e-02
5.225126938099229346e-01,2.022489222520214980e+03,4.750305667382224810e-03,1.637252334403124676e+00,5.300000000000000000e+02,6.456760887419294193e+01,1.224871364809988279e+02,8.967253723367750451e-02
5.233262274979727513e-01,1.989258554913215221e+03,4.873135232622183462e-03,1.717907805927141096e+00,5.400000000000000000e+02,7.062075154082592121e+01,1.251228396786562627e+02,9.098519809944696779e-02
5.241401001170339358e-01,1.953928598410531322e+03,4.995645133311973386e-03,1.818271629657321586e+00,5.500000000000000000e+02,7.799028808857980266e+01,1.285459116894882072e+02,9.315312984487564285e-02
5.249509857633165577e-01,1.916978247716486294e+03,5.117662575130339439e-03,1.946408208048942434e+00,5.600000000000000000e+02,8.657484396947978667e+01,1.327089103059797708e+02,9.446804237279859962e-02
5.257544364496753442e-01,1.879644338472044410e+03,5.239014646074197784e-03,2.114463342323421813e+00,5.700000000000000000e+02,9.667726189724703545e+01,1.377468195068842078e+02,9.630667174577021983e-02
5.265443507547482582e-01,1.844030312969831357e+03,5.359531285781517218e-03,2.341037285065040940e+00,5.800000000000000000e+02,1.084251699375441405e+02,1.436624867560484233e+02,9.808199776490403310e-02
5.273107970054553562e-01,1.811558431353360902e+03,5.478997236149027623e-03,2.652366586118590774e+00,5.900000000000000000e+02,1.213260974238911842e+02,1.503094890320473667e+02,9.961694435505855094e-02
5.280420545575593705e-01,1.784109845072475764e+03,5.597336455436866670e-03,3.078322109470680967e+00,6.000000000000000000e+02,1.346757573049948746e+02,1.568402121668872837e+02,1.004932962710027300e-01
5.287227391303350732e-01,1.764431173556644126e+03,5.714439085205027039e-03,3.632188121941170689e+00,6.100000000000000000e+02,1.473029861345864049e+02,1.628263029763485292e+02,1.013176617887586589e-01
5.293373103346408204e-01,1.755125422041004867e+03,5.830214888387265891e-03,4.276738181384943438e+00,6.200000000000000000e+02,1.573739373312928649e+02,1.672193397713104162e+02,1.012038659252117306e-01
5.298814553299452390e-01,1.754535689191508027e+03,5.944727452305687172e-03,4.932649235680484523e+00,6.300000000000000000e+02,1.652365054660868680e+02,1.702698292959751427e+02,1.010795295972422986e-01
5.303620247632364615e-01,1.761222788536201278e+03,6.058048256488264560e-03,5.532645570528553769e+00,6.400000000000000000e+02,1.708059558402008804e+02,1.720994418122130583e+02,1.002310370400523870e-01
5.307906538664600715e-01,1.773698400385655759e+03,6.170259471033336454e-03,6.057965415290057720e+00,6.500000000000000000e+02,1.748819344017190076e+02,1.732013940347116261e+02,9.899823716906556992e-02
5.311789487218691042e-01,1.790265536566862011e+03,6.281526984650227623e-03,6.515263360971557560e+00,6.600000000000000000e+02,1.778485416504933880e+02,1.737647433409249516e+02,9.710834945385600492e-02
5.315357511123457446e-01,1.808774461902552048e+03,6.392093459950231281e-03,6.920277652234851473e+00,6.700000000000000000e+02,1.801271382884631578e+02,1.739658147281430445e+02,9.517928351891538630e-02
5.318672653424620922e-01,1.828606207300518918e+03,6.502262833791315477e-03,7.286496597589898983e+00,6.800000000000000000e+02,1.818911006619501336e+02,1.738476357043772396e+02,9.366692542001499311e-02
5.321787926171682725e-01,1.851405445502146449e+03,6.612369105571185360e-03,7.623407394174259721e+00,6.900000000000000000e+02,1.832821354291260434e+02,1.734401136517778070e+02,9.211010724251798842e-02
5.324730687364996884e-01,1.877307894759281226e+03,6.722745333342777449e-03,7.936930413299538856e+00,7.000000000000000000e+02,1.842337734498852910e+02,1.727113503611695933e+02,9.004238416376397769e-02
5.327523018923715492e-01,1.903085895348179520e+03,6.833676841106025440e-03,8.230702833956090814e+00,7.100000000000000000e+02,1.848031514026851028e+02,1.717473156361095903e+02,8.769359545626354002e-02
5.330179250909583555e-01,1.929937219123039085e+03,6.945399615392624550e-03,8.506948221901618368e+00,7.200000000000000000e+02,1.849643999674841552e+02,1.705244002202473723e+02,8.522423456208755299e-02
5.332713995750250069e-01,1.958974568669436849e+03,7.058100306818475451e-03,8.766949089255666294e+00,7.300000000000000000e+02,1.847700070386763400e+02,1.690696950868083377e+02,8.342627828349212515e-02
5.335136758588582273e-01,1.987974024155409779e+03,7.171907772749121571e-03,9.011749059534746920e+00,7.400000000000000000e+02,1.842344596519670006e+02,1.674216949716413581e+02,8.102850486363497029e-02
5.337453507777409900e-01,2.017835309848837824e+03,7.286897184590239440e-03,9.241699948981613844e+00,7.500000000000000000e+02,1.833676191251454100e+02,1.656069203728787329e+02,7.825621777724077466e-02
5.339671911316061781e-01,2.046746218036192886e+03,7.403099961834184138e-03,9.457317876188186645e+00,7.600000000000000000e+02,1.822540667282965501e+02,1.636616485607499669e+02,7.590591102365162879e-02
5.341795288764713545e-01,2.077354919301251357e+03,7.520515210179914457e-03,9.659371294051418033e+00,7.700000000000000000e+02,1.810008730153576835e+02,1.616360795062877855e+02,7.346217041729706521e-02
5.343826516726379872e-01,2.106311332887426488e+03,7.639119568995687143e-03,9.849286031205448211e+00,7.800000000000000000e+02,1.796653527417528835e+02,1.595521643975784514e+02,7.042462762932409637e-02
5.345769852492944230e-01,2.135115681280000899e+03,7.758881588993465570e-03,1.002704116332630591e+01,7.900000000000000000e+02,1.781045839798809141e+02,1.573876589811919473e+02,6.808110000396612460e-02
5.347630437710649831e-01,2.163090859888658997e+03,7.879772734771745349e-03,1.019196938760897986e+01,8.000000000000000000e+02,1.764011936660224649e+02,1.551801479888208348e+02,6.528243025551871970e-02
5.349411186509390737e-01,2.190224315740766542e+03,8.001769139291695088e-03,1.034337860346557569e+01,8.100000000000000000e+02,1.744224558357402088e+02,1.529083236330147031e+02,6.202936740590008630e-02
5.351126385151587783e-01,2.214183014069874389e+03,8.124856192781890890e-03,1.048068478412427318e+01,8.200000000000000000e+02,1.722673120452614057e+02,1.506068920366055863e+02,5.993827731828790806e-02
5.352778205911846721e-01,2.238843467275473358e+03,8.249031464387806406e-03,1.060290129543060544e+01,8.300000000000000000e+02,1.698164833040546853e+02,1.482575968761794911e+02,5.718104709462436264e-02
5.354378282077608686e-01,2.259923447641232087e+03,8.374307084248584776e-03,1.070943275332731304e+01,8.400000000000000000e+02,1.670884352946550564e+02,1.458854563720466615e+02,5.447430724016494308e-02
5.355945148515945942e-01,2.278506124520709818e+03,8.500694679795316872e-03,1.079943968995385717e+01,8.500000000000000000e+02,1.641158967789299368e+02,1.434950314606473114e+02,5.210665566076915639e-02
5.357495121655408976e-01,2.297117569256254683e+03,8.628211017047054954e-03,1.087228798277667075e+01,8.600000000000000000e+02,1.607620761419551911e+02,1.410648104476517233e+02,4.952499876014874319e-02
5.359042094104301546e-01,2.311012989278634905e+03,8.756869976361306498e-03,1.092735389095670229e+01,8.700000000000000000e+02,1.571493096522691530e+02,1.386383093435250373e+02,4.709330035665548753e-02
5.360603297732583483e-01,2.323213152427385467e+03,8.886678820146010419e-03,1.096378084344777193e+01,8.800000000000000000e+02,1.531545076423707030e+02,1.361855456765825636e+02,4.487711064735311339e-02
5.362197897860798701e-01,2.332651265291634445e+03,9.017636484839882532e-03,1.098153094049466105e+01,8.900000000000000000e+02,1.488695177511266934e+02,1.337293193794792785e+02,4.294049012178630109e-02
5.363846244186514234e-01,2.339332540684876676e+03,9.149734269244775425e-03,1.098029310804620629e+01,9.000000000000000000e+02,1.443295696052333312e+02,1.312924090631865681e+02,4.054721656791751561e-02
5.365568376771387982e-01,2.341245159030626837e+03,9.282959674603971992e-03,1.096043306652816796e+01,9.100000000000000000e+02,1.394692554174868064e+02,1.288521374528501440e+02,3.892633200389898629e-02
5.367384572118492070e-01,2.341374442204101797e+03,9.417296876429569891e-03,1.092232748372603446e+01,9.200000000000000000e+02,1.345153851253801633e+02,1.264558119943121852e+02,3.732578865748933938e-02
5.369314879938883456e-01,2.337892375283928232e+03,9.552727205701222121e-03,1.086723907053321447e+01,9.300000000000000000e+02,1.293655519298599472e+02,1.240909274146878971e+02,3.569058652216472449e-02
5.371377443425563447e-01,2.331187019679112836e+03,9.689233773161247051e-03,1.079603447528041116e+01,9.400000000000000000e+02,1.241826082730551377e+02,1.217873579552870211e+02,3.386021205452251215e-02
5.373588707572701795e-01,2.319457991753254191e+03,9.826799574595316417e-03,1.071045407770050417e+01,9.500000000000000000e+02,1.189726037607701130e+02,1.195363818089489456e+02,3.271406158763086325e-02
5.375964489963068749e-01,2.306554937845527093e+03,9.965413127664968229e-03,1.061179198427642234e+01,9.600000000000000000e+02,1.137714903817115868e+02,1.173508242571340645e+02,3.166888540123457413e-02
