# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
5.044133628038341977e-01,3.129813507621597637e+03,1.575132463738612536e-03,1.037064940685945791e+00,2.500000000000000000e+02,9.948546634642422504e+00,1.531647118870235431e+02,2.624183776561538756e-02
5.048415392355452003e-01,3.120843493557790225e+03,1.672235515284162342e-03,1.040068561491033661e+00,2.600000000000000000e+02,1.007659869869143243e+01,1.479534586539078305e+02,2.663971419489286063e-02
5.052901302463866928e-01,3.112058948435257207e+03,1.771608500763583848e-03,1.043208338908264032e+00,2.700000000000000000e+02,1.019930895924011161e+01,1.433532331902778765e+02,2.711595982263359864e-02
5.057582207024191590e-01,3.103359696917337715e+03,1.872992259557527571e-03,1.046479593538130803e+00,2.800000000000000000e+02,1.031776701876532876e+01,1.392890003834460515e+02,2.747012986023865747e-02
5.062450172438069940e-01,3.094868154638219039e+03,1.976168885482807239e-03,1.049878557914154520e+00,2.900000000000000000e+02,1.043311495486791785e+01,1.356775820532860166e+02,2.761330421801174231e-02
5.067501247417394161e-01,3.086480336098202315e+03,2.080993585663375601e-03,1.053403411819872959e+00,3.000000000000000000e+02,1.054275180283396196e+01,1.324299920370422683e+02,2.809331682875736147e-02
5.072731981663907153e-01,3.078136310404966025e+03,2.187387404272823823e-03,1.057054858315781276e+00,3.100000000000000000e+02,1.064918924286968682e+01,1.294750058032339552e+02,2.831109324375716274e-02
5.078142007600834340e-01,3.069922445472284835e+03,2.295329181368395161e-03,1.060835511187715463e+00,3.200000000000000000e+02,1.075150543693013638e+01,1.267533514256644054e+02,2.852510215325392354e-02
5.083733036158577523e-01,3.061765823124509552e+03,2.404837813513816588e-03,1.064749447452276732e+00,3.300000000000000000e+02,1.085011241891011302e+01,1.242214667705222837e+02,2.896442344369321020e-02
5.089507365244226866e-01,3.053630788436439161e+03,2.515946946387104775e-03,1.068801768969345423e+00,3.400000000000000000e+02,1.094299344627921577e+01,1.218532938297154544e+02,2.921987733861437439e-02
5.095464225365951005e-01,3.045563343185148824e+03,2.628669386238098073e-03,1.072997135465610485e+00,3.500000000000000000e+02,1.103403301869240494e+01,1.196561960470786232e+02,2.931783880763504449e-02
5.101604536637481813e-01,3.037527957862771018e+03,2.742996393879434426e-03,1.077339528866854135e+00,3.600000000000000000e+02,1.112132370944409843e+01,1.176103177057796501e+02,2.970817913819806880e-02
5.107926878728092923e-01,3.029464978646174586e+03,2.858873499553003187e-03,1.081831720185012280e+00,3.700000000000000000e+02,1.120573011176037070e+01,1.157286595279426962e+02,2.983251481128577909e-02
